site_index,method,vs_mae_km_s,vs_mae_0_40km_km_s,vs_mae_40_120km_km_s,phase_forward_rms_km_s,group_forward_rms_km_s,input_protocol
4555,DispFormer phase+group,0.15813609957695007,0.23064851760864258,0.12142670154571533,0.01956186443567276,0.07313752919435501,phase + group
4670,DispFormer phase+group,0.10273772478103638,0.11940363794565201,0.09430061280727386,0.03128938376903534,0.037312742322683334,phase + group
4695,DispFormer phase+group,0.1570703089237213,0.1692606806755066,0.15089891850948334,0.03982071205973625,0.06062904745340347,phase + group
4724,DispFormer phase+group,0.12606343626976013,0.1374630182981491,0.12029238790273666,0.02481001242995262,0.06092873215675354,phase + group
4805,DispFormer phase+group,0.09939121454954147,0.13682210445404053,0.08044183254241943,0.018058501183986664,0.039588287472724915,phase + group
4989,DispFormer phase+group,0.14724798500537872,0.17515356838703156,0.13312079012393951,0.03507450222969055,0.05311733856797218,phase + group
5077,DispFormer phase+group,0.09604056924581528,0.1282331496477127,0.07974307239055634,0.02537137269973755,0.03710571303963661,phase + group
5097,DispFormer phase+group,0.07257020473480225,0.12221025675535202,0.04743993282318115,0.03450470417737961,0.12362054735422134,phase + group
5111,DispFormer phase+group,0.06326914578676224,0.13157539069652557,0.028689105063676834,0.02848350815474987,0.05795624479651451,phase + group
5212,DispFormer phase+group,0.10361199080944061,0.1120872050523758,0.0993214100599289,0.025147059932351112,0.06234658882021904,phase + group
5564,DispFormer phase+group,0.036664947867393494,0.07410138100385666,0.017712753266096115,0.01537779625505209,0.05446132272481918,phase + group
5580,DispFormer phase+group,0.07018360495567322,0.11896660923957825,0.04548722505569458,0.02904440276324749,0.05366517975926399,phase + group
5604,DispFormer phase+group,0.1106444001197815,0.12219665944576263,0.10479607433080673,0.04627465829253197,0.03577970713376999,phase + group
5762,DispFormer phase+group,0.0735592320561409,0.09730259329080582,0.06153916195034981,0.026017095893621445,0.05304419994354248,phase + group
6047,DispFormer phase+group,0.0855046957731247,0.10881515592336655,0.07370378077030182,0.018596641719341278,0.05751430243253708,phase + group
6196,DispFormer phase+group,0.09046245366334915,0.14159463346004486,0.06457678228616714,0.058395907282829285,0.06295376271009445,phase + group
6663,DispFormer phase+group,0.04874032735824585,0.08295026421546936,0.03142154961824417,0.043366577476263046,0.06016762554645538,phase + group
6679,DispFormer phase+group,0.10809789597988129,0.12702247500419617,0.09851733595132828,0.04104992747306824,0.048910483717918396,phase + group
