subarray,lon,lat,depth_km,vs_median_km_s,vs_q16_km_s,vs_q84_km_s,vs_std_km_s,n_periods_used
30,109.416667,42.337500,80.0,3.52592,3.50711,3.54937,0.01953,39
30,109.416667,42.337500,100.0,3.54579,3.52870,3.56382,0.02230,39
31,109.583333,41.212500,2.0,2.77062,2.24049,3.39228,0.55252,39
31,109.583333,41.212500,5.0,3.05170,2.75868,3.45074,0.39683,39
31,109.583333,41.212500,10.0,3.47474,2.93915,3.89997,0.45685,39
31,109.583333,41.212500,20.0,3.88842,3.53732,4.33495,0.38589,39
31,109.583333,41.212500,40.0,3.08403,2.95920,3.34550,0.18493,39
31,109.583333,41.212500,60.0,3.28987,3.24708,3.36238,0.06277,39
31,109.583333,41.212500,80.0,3.52313,3.50352,3.54252,0.02879,39
31,109.583333,41.212500,100.0,3.57169,3.54936,3.59590,0.02588,39
32,109.583333,41.337500,2.0,2.83972,2.43142,3.23367,0.42660,39
32,109.583333,41.337500,5.0,2.97263,2.71863,3.32907,0.33438,39
32,109.583333,41.337500,10.0,3.26095,2.97061,3.71541,0.39406,39
32,109.583333,41.337500,20.0,3.69859,3.46429,4.10830,0.32010,39
32,109.583333,41.337500,40.0,3.07417,2.92893,3.28274,0.20914,39
32,109.583333,41.337500,60.0,3.25799,3.21456,3.32314,0.06673,39
32,109.583333,41.337500,80.0,3.51506,3.49822,3.54093,0.02489,39
32,109.583333,41.337500,100.0,3.55450,3.53374,3.57668,0.02322,39
33,109.583333,41.462500,2.0,2.83578,2.25221,3.18713,0.44751,39
33,109.583333,41.462500,5.0,2.94222,2.66278,3.16823,0.26517,39
33,109.583333,41.462500,10.0,3.22457,2.89068,3.55627,0.35013,39
33,109.583333,41.462500,20.0,3.77476,3.51807,4.07190,0.26263,39
33,109.583333,41.462500,40.0,3.00623,2.87745,3.13969,0.13312,39
33,109.583333,41.462500,60.0,3.26804,3.21094,3.34435,0.06609,39
33,109.583333,41.462500,80.0,3.51428,3.50243,3.53726,0.02867,39
33,109.583333,41.462500,100.0,3.55692,3.53894,3.57955,0.03415,39
34,109.583333,41.587500,2.0,2.78444,2.55399,3.19706,0.37527,39
34,109.583333,41.587500,5.0,2.89112,2.60479,3.30559,0.31398,39
34,109.583333,41.587500,10.0,3.10304,2.84567,3.46465,0.36898,39
34,109.583333,41.587500,20.0,3.78282,3.46563,4.08848,0.32311,39
34,109.583333,41.587500,40.0,2.98510,2.88178,3.15283,0.14615,39
34,109.583333,41.587500,60.0,3.25540,3.22195,3.31472,0.04805,39
34,109.583333,41.587500,80.0,3.51322,3.49581,3.53444,0.02067,39
34,109.583333,41.587500,100.0,3.55665,3.53167,3.57743,0.02520,39
35,109.583333,41.712500,2.0,2.74725,2.19820,3.27084,0.48109,39
35,109.583333,41.712500,5.0,2.94064,2.62095,3.14882,0.30942,39
35,109.583333,41.712500,10.0,3.10477,2.77748,3.55519,0.36578,39
35,109.583333,41.712500,20.0,3.74374,3.55530,4.03369,0.27152,39
35,109.583333,41.712500,40.0,3.02140,2.90834,3.13665,0.12519,39
35,109.583333,41.712500,60.0,3.26682,3.21826,3.32773,0.05675,39
35,109.583333,41.712500,80.0,3.51613,3.49976,3.53643,0.01978,39
35,109.583333,41.712500,100.0,3.55611,3.53200,3.57116,0.02352,39
36,109.583333,41.837500,2.0,2.72172,2.31226,3.25517,0.40335,39
36,109.583333,41.837500,5.0,2.80585,2.46562,3.05094,0.29235,39
36,109.583333,41.837500,10.0,3.07403,2.67525,3.44077,0.33735,39
36,109.583333,41.837500,20.0,3.86014,3.49196,4.14351,0.31452,39
36,109.583333,41.837500,40.0,2.98630,2.83917,3.11663,0.16202,39
36,109.583333,41.837500,60.0,3.25998,3.22748,3.31421,0.05286,39
36,109.583333,41.837500,80.0,3.51623,3.49741,3.53532,0.02754,39
36,109.583333,41.837500,100.0,3.54728,3.53491,3.57032,0.02095,39
37,109.583333,41.962500,2.0,2.84517,2.32679,3.21715,0.40307,39
37,109.583333,41.962500,5.0,2.88919,2.66719,3.30027,0.30910,39
37,109.583333,41.962500,10.0,3.12031,2.78628,3.48069,0.34457,39
37,109.583333,41.962500,20.0,3.64111,3.37017,3.95060,0.30070,39
37,109.583333,41.962500,40.0,3.03380,2.90575,3.19946,0.14196,39
37,109.583333,41.962500,60.0,3.25270,3.21644,3.30239,0.04862,39
37,109.583333,41.962500,80.0,3.51367,3.50066,3.54031,0.02033,39
37,109.583333,41.962500,100.0,3.54986,3.53230,3.56527,0.01907,39
38,109.583333,42.087500,2.0,2.81544,2.36881,3.20434,0.41388,39
38,109.583333,42.087500,5.0,2.81652,2.50507,3.11597,0.30888,39
38,109.583333,42.087500,10.0,3.09171,2.76580,3.45197,0.35397,39
