disp_best_rms_km_s,method,reference_in_p05_p95,site_index,status,vs_mae_km_s
0.010234360739346018,QEDisp m0 multistart,nan,9065,ok,0.09651745482696432
nan,DI-Strong,0.7344398340248963,9065,ok,0.08601295948028564
nan,DI-Weak,0.941908713692946,9065,ok,0.10862746834754944
0.014580777104698869,QEDisp m0 multistart,nan,9116,ok,0.09821726093890346
nan,DI-Strong,0.4149377593360996,9116,ok,0.15472622215747833
nan,DI-Weak,0.8796680497925311,9116,ok,0.16867966949939728
0.01663372369026091,QEDisp m0 multistart,nan,9220,ok,0.09585049355358805
nan,DI-Strong,0.7551867219917012,9220,ok,0.09445007145404816
nan,DI-Weak,0.9128630705394191,9220,ok,0.13323573768138885
0.016011552447672422,QEDisp m0 multistart,nan,9314,ok,0.07992501008682015
nan,DI-Strong,0.8713692946058091,9314,ok,0.0876765102148056
nan,DI-Weak,0.8381742738589212,9314,ok,0.15625454485416412
0.035934219233737026,QEDisp m0 multistart,nan,9335,ok,0.14156115177592307
nan,DI-Strong,0.5601659751037344,9335,ok,0.152093306183815
nan,DI-Weak,0.7136929460580913,9335,ok,0.20129601657390594
0.01552432745139325,QEDisp m0 multistart,nan,9495,ok,0.12139884255734713
nan,DI-Strong,0.7925311203319502,9495,ok,0.0829678624868393
nan,DI-Weak,0.7842323651452282,9495,ok,0.14784882962703705
0.00995926946338945,QEDisp m0 multistart,nan,9549,ok,0.07533535116995647
nan,DI-Strong,0.7717842323651453,9549,ok,0.11081825196743011
nan,DI-Weak,0.6514522821576764,9549,ok,0.1985979527235031
0.00846640187921906,QEDisp m0 multistart,nan,9586,ok,0.09436210508418556
nan,DI-Strong,0.7966804979253111,9586,ok,0.11049145460128784
nan,DI-Weak,0.8713692946058091,9586,ok,0.13826093077659607
0.008490180526359812,QEDisp m0 multistart,nan,9591,ok,0.05748097521358533
nan,DI-Strong,0.8174273858921162,9591,ok,0.08266899734735489
nan,DI-Weak,0.9875518672199171,9591,ok,0.08276677131652832
0.010358963804257356,QEDisp m0 multistart,nan,9680,ok,0.08465557299952928
nan,DI-Strong,0.5228215767634855,9680,ok,0.15346960723400116
nan,DI-Weak,0.9543568464730291,9680,ok,0.10078071057796478
0.015732301197882066,QEDisp m0 multistart,nan,9827,ok,0.10472067265520588
nan,DI-Strong,0.7634854771784232,9827,ok,0.11691301316022873
nan,DI-Weak,0.6514522821576764,9827,ok,0.16261422634124756
0.023969393204773475,QEDisp m0 multistart,nan,9858,ok,0.21466527594792728
nan,DI-Strong,0.8008298755186722,9858,ok,0.0815780833363533
